time	m_length	m_force	sc_extension	sc_force	hs_1_pCa	hs_1_length	hs_1_command_length	hs_1_slack_length	hs_1_a_length	hs_1_m_length	hs_1_force	hs_1_titin_force	hs_1_viscous_force	hs_1_extracellular_force	hs_1_inter_hs_titin_force_effect	hs_1_a_pop_1	hs_1_a_pop_2	hs_1_m_pop_1	hs_1_m_pop_2	hs_1_m_pop_3	hs_1_m_pop_4	hs_1_c_pop_1	hs_1_c_pop_2	hs_1_c_pop_3
3.0138	1105.000	64108.5	0.641085	64108.5	4.5	1104.36	1100	-nan(ind)	1017.69	809.911	64108.5	2.21385e-11	-0.0587791	0	0	0.0138889	0.986111	0.103395	0.594136	0.114198	0.188272	1	0	0
3.0139	1105.000	64097.5	0.640975	64097.5	4.5	1104.36	1100	-nan(ind)	1017.68	809.912	64097.5	2.21384e-11	0.0109107	0	0	0.00925926	0.990741	0.0941358	0.599537	0.118056	0.188272	1	0	0
3.014	1105.000	64189.2	0.641892	64189.2	4.5	1104.36	1100	-nan(ind)	1017.69	809.911	64189.2	2.21384e-11	-0.091682	0	0	0.00925926	0.990741	0.0910494	0.604167	0.114969	0.189815	1	0	0
3.0141	1105.000	63649.2	0.636492	63649.2	4.5	1104.36	1100	-nan(ind)	1017.67	809.905	63649.2	2.21401e-11	0.540027	0	0	0.0115741	0.988426	0.0910494	0.60571	0.115741	0.1875	1	0	0
3.0142	1105.000	63182.5	0.631825	63182.5	4.5	1104.37	1100	-nan(ind)	1017.67	809.89	63182.5	2.2143e-11	0.466723	0	0	0.0115741	0.988426	0.0895062	0.604167	0.121142	0.185185	1	0	0
3.0143	1105.000	63692.8	0.636928	63692.8	4.5	1104.36	1100	-nan(ind)	1017.69	809.897	63692.8	2.21412e-11	-0.51033	0	0	0.0115741	0.988426	0.095679	0.599537	0.118056	0.186728	1	0	0
3.0144	1105.000	63903.2	0.639032	63903.2	4.5	1104.36	1100	-nan(ind)	1017.69	809.898	63903.2	2.21406e-11	-0.210438	0	0	0.0138889	0.986111	0.095679	0.595679	0.122685	0.185957	1	0	0
3.0145	1105.000	63737	0.63737	63737	4.5	1104.36	1100	-nan(ind)	1017.69	809.895	63737	2.21412e-11	0.166239	0	0	0.0138889	0.986111	0.0895062	0.602623	0.121914	0.185957	1	0	0
3.0146	1105.000	63421.3	0.634213	63421.3	4.5	1104.37	1100	-nan(ind)	1017.69	809.885	63421.3	2.21431e-11	0.31571	0	0	0.0138889	0.986111	0.0910494	0.601852	0.121914	0.185185	1	0	0
3.0147	1105.000	63372	0.63372	63372	4.5	1104.37	1100	-nan(ind)	1017.69	809.883	63372	2.21435e-11	0.0492458	0	0	0.0162037	0.983796	0.0895062	0.606481	0.118827	0.185185	1	0	0
